N,Triton,Torch,Apex
1024.0,1269.5,972.7,830.9
1536.0,1297.7,1163.4,973.3
2048.0,1623.2,1325.6,1085.5
2560.0,1481.0,1435.6,1138.8
3072.0,1662.6,1527.1,1192.5
3584.0,1853.5,1572.4,1244.9
4096.0,1991.6,1616.9,1240.9
4608.0,1569.7,1678.0,1231.4
5120.0,1664.4,1724.1,1227.8
5632.0,1745.5,1760.4,1199.5
6144.0,1845.0,1778.3,1158.2
6656.0,1834.2,1773.1,1100.7
7168.0,1889.8,1757.7,1104.4
7680.0,1953.4,1738.4,1008.8
8192.0,2020.4,1708.5,975.4
8704.0,1598.4,1686.8,975.6
9216.0,1639.5,1675.6,995.1
9728.0,1673.6,1642.2,932.4
10240.0,1733.2,1641.5,910.1
10752.0,1757.7,1614.9,909.6
11264.0,1809.6,1591.8,914.8
11776.0,1859.2,1571.4,897.4
12288.0,1909.4,1570.5,881.0
12800.0,1884.8,1559.3,882.4
13312.0,1871.9,1565.0,882.1
13824.0,1901.1,1554.2,880.9
14336.0,1933.6,1561.4,884.4
14848.0,1929.5,1556.5,866.0
15360.0,1975.5,1557.6,876.5
15872.0,2009.0,1547.3,878.3
